Species,Bd detection,Sample,Locality
Pseudoeurycea smithi,Positive,Historical,"Nuevo Zoquiapam, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Positive,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychochyla zophodes,Negative,Contemporary,"San Felipe Usila, Oaxaca"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Positive,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"La Concordia, Chiapas"
Ptychohyla euthysanota,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Ptychohyla leonhardschultzei,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Ptychohyla leonhardschultzei,Negative,Contemporary,"San Agustin Loxicha, Oaxaca"
Ptychohyla leonhardschultzei,Negative,Contemporary,"San Agustin Loxicha, Oaxaca"
Ptychohyla sp.,Positive,Contemporary,"San Miguel Quetzaltepec, Oaxaca"
Ptychohyla sp.,Negative,Contemporary,"San Miguel Quetzaltepec, Oaxaca"
Ptychohyla sp.,Negative,Contemporary,"San Miguel Quetzaltepec, Oaxaca"
Ptychohyla sp.,Negative,Contemporary,"San Miguel Quetzaltepec, Oaxaca"
Ptychohyla sp.,Negative,Contemporary,"San Miguel Quetzaltepec, Oaxaca"
Ptychohyla sp.,Negative,Contemporary,"San Miguel Quetzaltepec, Oaxaca"
Rana pipiens,Positive,Historical,"Calvillo, Aguascalientes"
Rana pipiens,Negative,Historical,"Calvillo, Aguascalientes"
Rana pipiens,Negative,Historical,"Calvillo, Aguascalientes"
Rana pipiens,Negative,Historical,"Comitan de Dominguez, Chiapas"
Rana pipiens,Negative,Historical,"Comitan de Dominguez, Chiapas"
Rana pipiens,Negative,Historical,"Comitan de Dominguez, Chiapas"
Rana pipiens,Positive,Historical,"Jiquipilas, Chiapas"
Rana pipiens,Negative,Historical,"Jiquipilas, Chiapas"
Rana pipiens,Negative,Historical,"San Cristobal de las Casas, Chiapas"
Rana pipiens,Positive,Historical,"Tenejapa, Chiapas"
Rana pipiens,Negative,Historical,"Tenejapa, Chiapas"
Rana pipiens,Negative,Historical,"Tenejapa, Chiapas"
Rana pipiens,Positive,Historical,"Ahumada, Chihuahua"
Rana pipiens,Negative,Historical,"Chihuahua, Chihuahua"
Rana pipiens,Negative,Historical,"Chihuahua, Chihuahua"
Rana pipiens,Negative,Historical,"Chihuahua, Chihuahua"
Rana pipiens,Negative,Historical,"Namiquipa, Chihuahua"
Rana pipiens,Negative,Historical,"Sahuaripa, Sonora"
Rana pipiens,Negative,Historical,"Sahuaripa, Sonora"
Rana pipiens,Negative,Historical,"Sahuaripa, Sonora"
Rana pipiens,Negative,Historical,"Sahuaripa, Sonora"
Rana pipiens,Negative,Historical,"Sahuaripa, Sonora"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rheohyla miotympanum,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Rhinella horribilis,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Rhinella marina,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Rhinella marina,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Sarcohyla pentheter,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Scinax staufferi,Positive,Historical,"Emiliano Zapata, Veracruz de Ignacio de la Llave"
Scinax staufferi,Negative,Historical,"Emiliano Zapata, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Negative,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Scinax staufferi,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Smilisca baudinii,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Smilisca baudinii,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Smilisca baudinii,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Smilisca baudinii,Positive,Contemporary,"Maravilla Tenejapa, Chiapas"
Smilisca baudinii,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Smilisca baudinii,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Smilisca baudinii,Negative,Contemporary,"Villa de Alvarez, Colima"
Smilisca baudinii,Negative,Contemporary,"Villa de Alvarez, Colima"
Smilisca baudinii,Negative,Contemporary,"Nejapa de Madero, Oaxaca"
Smilisca baudinii,Negative,Contemporary,"Santa Maria Chimalapa, Oaxaca"
Smilisca baudinii,Negative,Historical,"Gomez Farias, Tamaulipas"
Smilisca baudinii,Negative,Contemporary,"Fortin, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Tepetzintla, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Tihuatlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Tihuatlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Tihuatlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Tihuatlan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Ursulo Galvan, Veracruz de Ignacio de la Llave"
Smilisca baudinii,Negative,Contemporary,"Ursulo Galvan, Veracruz de Ignacio de la Llave"
Smilisca cyanosticta,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Smilisca cyanosticta,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Smilisca cyanosticta,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Smilisca fodiens,Positive,Historical,"Alamos, Sonora"
Smilisca fodiens,Positive,Historical,"Alamos, Sonora"
Smilisca fodiens,Positive,Historical,"Bacanora, Sonora"
Smilisca fodiens,Negative,Contemporary,"Hermosillo, Sonora"
Smilisca fodiens,Negative,Contemporary,"Hermosillo, Sonora"
Smilisca fodiens,Negative,Contemporary,"Hermosillo, Sonora"
Smilisca fodiens,Negative,Contemporary,"Hermosillo, Sonora"
Smilisca fodiens,Positive,Historical,"Sahuaripa, Sonora"
Smilisca fodiens,Negative,Historical,"Sahuaripa, Sonora"
Thorius munificus,Negative,Historical,"Villa Aldama, Veracruz de Ignacio de la Llave"
Thorius pennatulus,Positive,Historical,"Xico, Veracruz de Ignacio de la Llave"
Thorius pennatulus,Negative,Historical,"Xico, Veracruz de Ignacio de la Llave"
Thorius pennatulus,Negative,Historical,"Xico, Veracruz de Ignacio de la Llave"
Tlalocohyla loquax,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Tlalocohyla loquax,Negative,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla smithi,Negative,Contemporary,"Villa de Alvarez, Colima"
Tlalocohyla sp.,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Tlalocohyla sp.,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Tlalocohyla sp.,Negative,Contemporary,"Maravilla Tenejapa, Chiapas"
Trachycephalus typhonius,Negative,Contemporary,"Tihuatlan, Veracruz de Ignacio de la Llave"
